id,timestamp,season,holiday,workingday,weather,temp,temp_feel,humidity,windspeed,demand
1,01-01-2017 00:00,spring,No,No,Clear or partly cloudy,9.84,14.395,81,0,2.772588722
2,01-01-2017 01:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80,0,3.688879454
3,01-01-2017 02:00,spring,No,No,Clear or partly cloudy,9.02,13.635,80,0,3.465735903
4,01-01-2017 03:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75,0,2.564949357
5,01-01-2017 04:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75,0,0
6,01-01-2017 05:00,spring,No,No,Mist,9.84,12.88,75,6.0032,0
7,01-01-2017 06:00,spring,No,No,Clear or partly cloudy,,13.635,80,0,0.693147181
8,01-01-2017 07:00,spring,No,No,Clear or partly cloudy,8.2,12.88,86,0,1.098612289
9,01-01-2017 08:00,spring,No,No,Clear or partly cloudy,9.84,14.395,75,0,2.079441542
10,01-01-2017 09:00,spring,No,No,Clear or partly cloudy,13.12,17.425,76,0,2.63905733
11,01-01-2017 10:00,spring,No,No,Clear or partly cloudy,15.58,19.695,76,16.9979,3.583518938
12,01-01-2017 11:00,spring,No,No,Clear or partly cloudy,14.76,16.665,81,19.0012,4.025351691
13,01-01-2017 12:00,spring,No,No,Clear or partly cloudy,17.22,21.21,77,19.0012,4.430816799
14,01-01-2017 13:00,spring,No,No,Mist,18.86,22.725,72,19.9995,4.543294782
15,01-01-2017 14:00,spring,No,No,Mist,18.86,22.725,72,19.0012,4.663439094
16,01-01-2017 15:00,spring,No,No,Mist,18.04,21.97,77,19.9995,4.700480366
17,01-01-2017 16:00,spring,No,No,Mist,17.22,21.21,82,19.9995,4.532599493
18,01-01-2017 17:00,spring,No,No,Mist,18.04,21.97,82,19.0012,4.204692619
19,01-01-2017 18:00,spring,No,No,Light snow or rain,17.22,21.21,88,16.9979,3.555348061
20,01-01-2017 19:00,spring,No,No,Light snow or rain,,21.21,88,16.9979,3.610917913
21,01-01-2017 20:00,spring,No,No,Mist,16.4,20.455,87,16.9979,3.583518938
22,01-01-2017 21:00,spring,No,No,Mist,16.4,20.455,87,12.998,3.526360525
23,01-01-2017 22:00,spring,No,No,Mist,16.4,20.455,94,15.0013,3.33220451
24,01-01-2017 23:00,spring,No,No,Mist,,22.725,88,19.9995,3.663561646
25,02-01-2017 00:00,spring,No,No,Mist,18.86,22.725,88,19.9995,2.833213344
26,02-01-2017 01:00,spring,No,No,Mist,18.04,21.97,94,16.9979,2.833213344
27,02-01-2017 02:00,spring,No,No,Mist,,21.21,100,19.0012,2.197224577
28,02-01-2017 03:00,spring,No,No,Mist,18.86,22.725,94,12.998,1.791759469
29,02-01-2017 04:00,spring,No,No,Mist,18.86,22.725,94,12.998,1.098612289
30,02-01-2017 06:00,spring,No,No,Light snow or rain,17.22,21.21,77,19.9995,0.693147181
31,02-01-2017 07:00,spring,No,No,Mist,16.4,20.455,76,12.998,0
32,02-01-2017 08:00,spring,No,No,Light snow or rain,,20.455,71,15.0013,2.079441542
33,02-01-2017 09:00,spring,No,No,Mist,15.58,19.695,76,15.0013,2.995732274
34,02-01-2017 10:00,spring,No,No,Mist,14.76,17.425,81,15.0013,3.970291914
35,02-01-2017 11:00,spring,No,No,Mist,14.76,16.665,71,16.9979,4.248495242
36,02-01-2017 12:00,spring,No,No,Mist,14.76,,66,19.9995,4.532599493
37,02-01-2017 13:00,spring,No,No,Mist,14.76,17.425,66,8.9981,4.317488114
38,02-01-2017 14:00,spring,No,No,Light snow or rain,14.76,17.425,76,12.998,4.077537444
39,02-01-2017 15:00,spring,No,No,Light snow or rain,13.94,16.665,81,11.0014,4.304065093
40,02-01-2017 16:00,spring,No,No,Light snow or rain,,16.665,71,11.0014,4.33073334
41,02-01-2017 17:00,spring,No,No,Clear or partly cloudy,13.94,16.665,57,12.998,4.17438727
42,02-01-2017 18:00,spring,No,No,Mist,14.76,16.665,46,22.0028,3.970291914
43,02-01-2017 19:00,spring,No,No,Clear or partly cloudy,13.12,14.395,42,30.0026,3.401197382
44,02-01-2017 20:00,spring,No,No,Clear or partly cloudy,,13.635,39,23.9994,3.091042453
45,02-01-2017 21:00,spring,No,No,Clear or partly cloudy,10.66,11.365,44,22.0028,3.433987204
46,02-01-2017 22:00,spring,No,No,Clear or partly cloudy,9.84,10.605,44,19.9995,2.197224577
47,02-01-2017 23:00,spring,No,No,Clear or partly cloudy,,11.365,47,11.0014,2.079441542
48,03-01-2017 00:00,spring,No,Yes,Clear or partly cloudy,9.02,9.85,44,23.9994,1.609437912
49,03-01-2017 01:00,spring,No,Yes,Clear or partly cloudy,,8.335,44,27.9993,0.693147181
50,03-01-2017 04:00,spring,No,Yes,Clear or partly cloudy,6.56,6.82,47,26.0027,0
51,03-01-2017 05:00,spring,No,Yes,Clear or partly cloudy,6.56,6.82,47,19.0012,1.098612289
52,03-01-2017 06:00,spring,No,Yes,Clear or partly cloudy,5.74,5.305,50,26.0027,3.401197382
53,03-01-2017 07:00,spring,No,Yes,Clear or partly cloudy,,6.82,,12.998,4.158883083
